,kls=results&ty=por&q=0.44&ds=2.0&daa=500&scale=0.2,kls=results&ty=por&q=0.44&ds=5.0&daa=500&scale=0.5,kls=results&ty=por&q=0.44&ds=10.0&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=13.0&daa=500&scale=1.3,kls=results&ty=por&q=0.44&ds=16.0&daa=500&scale=1.6,kls=results&ty=por&q=0.44&ds=20.0&daa=500&scale=2.0,kls=analytical&ty=trad&q=0.44&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.88
0.2,0.723,,,,,,0.820864
0.3,,,,,,,0.7771506688
0.4,0.5793333333333334,,,,,,0.7412474527744
0.5,,0.5706666666666667,,,,,0.7102845192739226
0.6,,,,,,,0.682819158741659
0.6000000000000001,0.457,,,,,,
0.7,,,,,,,0.6580051210127768
0.8,0.39766666666666667,,,,,,0.6352953136833036
0.9,,,,,,,0.6143114517108704
1.0,0.3303333333333333,0.4056666666666667,0.422,,,,0.594778740370842
1.1,,,,,,,0.5764898720889466
1.2,,,,,,,0.5592837048093393
1.2000000000000002,0.30933333333333335,,,,,,
1.3,,,,0.39566666666666667,,,0.543031906274841
1.4,,,,,,,0.5276302018175318
1.4000000000000001,0.2783333333333333,,,,,,
1.5,,0.31966666666666665,,,,,0.5129924219013051
1.6,0.23933333333333334,,,,0.386,,0.4990463258787199
1.7,,,,,,,0.4857305933963555
1.8,,,,,,,0.47299260704804946
1.9,,,,,,,0.4607867854627393
2.0,,0.251,0.24966666666666668,,,0.35633333333333334,0.44907330817548086
2.1,,,,,,,0.43781712504151704
2.2,0.19966666666666666,,,,,,0.4269871760422259
2.3,,,,,,,0.4165557691661086
2.4,,,,,,,0.40649807877981403
2.5,,0.2,,,,,0.39679173704434734
2.6,,,,0.23366666666666666,,,0.3874164980381609
2.7,,,,,,,0.37835395931144233
2.8,,,,,,,0.3695873292566303
2.9,,,,,,,0.3611012313635722
3.0,,0.166,0.16933333333333334,,,,0.35288153841954306
3.1,,,,,,,0.3449152312100019
3.2,0.108,,,,0.218,,0.3371902774111446
3.3,,,,,,,0.3296955272354932
3.4,,,,,,,0.3224206230649943
3.5,,0.15566666666666668,,,,,0.3153559208314689
3.6,,,,,,,0.3084924213175543
3.7,,,,,,,0.3018217098788749
3.8,,,,,,,0.29533590334969584
3.9,,,,,,,0.2890276031044733
3.9000000000000004,,,,0.166,,,
4.0,,0.136,0.13,,,0.201,0.28288985341767536
4.1,,,,,,,0.2769161044025087
4.2,,,,,,,0.27110017892229876
4.3,,,,,,,0.2654362429613051
4.4,,,,,,,0.25991877901865146
4.5,,,,,,,0.2545425621529298
4.6,,,,,,,0.24930263835832844
4.6000000000000005,0.08133333333333333,,,,,,
4.7,,,,,,,0.2441943049978037
4.8,,,,,,,0.23921309305639538
4.800000000000001,,,,,0.154,,
4.9,,,,,,,0.23435475100954173
5.0,,,0.09133333333333334,,,,0.22961523012817686
5.1,,,,,,,0.22499067106531045
5.2,,,,0.11466666666666667,,,0.22047739158836455
5.3,,,,,,,0.2160718753383143
5.4,,,,,,,0.21177076151109553
5.5,,0.08566666666666667,,,,,0.20757083536917487
5.6,,,,,,,0.20346901950192942
5.7,,,,,,,0.19946236576280407
5.8,,,,,,,0.1955480478193229
5.9,,,,,,,0.19172335425909925
6.0,,,0.084,,,0.13666666666666666,0.18798568220116796
6.1,,,,,,,0.18433253136737338
6.2,,,,,,,0.18076149857330504
6.3,,,,,,,0.17727027260245376
6.4,0.044,,,,0.09433333333333334,,0.1738566294309547
6.5,,,,0.08433333333333333,,,0.17051842777354576
6.6,,,,,,,0.16725360492426156
6.7,,,,,,,0.16406017286794838
6.8,,,,,,,0.16093621464096775
6.9,,,,,,,0.15787988092148886
7.0,,,0.06533333333333333,,,,0.15488938683158437
7.1,,,,,,,0.1519630089349674
7.2,,,,,,,0.1490990824156596
7.3,,,,,,,0.14629599842418428
7.4,,,,,,,0.14355220157904924
7.5,,,,,,,0.14086618761233927
7.6,,,,,,,0.13823650114918706
7.7,,,,,,,0.1356617336117497
7.8,,,,,,,0.13314052123909093
7.800000000000001,,,,0.058,,,
7.9,,,,,,,0.130671543215076
8.0,,0.053,0.052,,0.072,0.078,0.12825351989701494
8.1,,,,,,,0.12588521113837325
8.2,,,,,,,0.12356541469938997
8.3,,,,,,,0.12129296473992235
8.4,,,,,,,0.11906673038926896
8.5,,,,,,,0.11688561438812217
8.6,,,,,,,0.1147485517981609
8.7,,,,,,,0.11265450877512684
8.8,,,,,,,0.11060248140152962
8.9,,,,,,,0.1085914945754044
9.0,,,,,,,0.10662060095179915
9.1,,,,0.04833333333333333,,,0.10468887993390386
9.2,,,,,,,0.10279543671094793
9.3,,,,,,,0.10093940134018797
9.4,,,,,,,0.09911992787049517
9.5,,,,,,,0.09733619350521128
9.6,,,,,,,0.09558739780210546
9.600000000000001,,,,,0.054,,
9.7,,,,,,,0.09387276190840033
9.8,,,,,,,0.09219152782897089
9.9,,,,,,,0.09054295772594179
10.0,,,,,,0.04633333333333333,0.08892633324802035
10.4,,,,0.036333333333333336,,,
10.5,,,,,,,0.08129853824284028
11.0,,,0.026333333333333334,,,,0.07437178298441338
11.200000000000001,,,,,0.03766666666666667,,
11.5,,0.030333333333333334,,,,,0.06807478201789274
12.0,,,,,,0.046,0.06234458603121862
12.5,,,,,,,0.057125422738935505
12.8,,,,,0.029,,
13.0,,,,,,,0.052367731787898664
13.5,,,,,,,0.04802735508537348
14.0,,,,,,0.032,0.04406485283893202
14.3,,,,0.016,,,
14.5,,,,,,,0.040444922179472265
15.0,,,,,,,0.03713590017418078
15.5,,,,,,,0.03410933678049777
16.0,,0.017333333333333333,0.012666666666666666,,,0.025,0.03133962616345154
16.5,,,,,,,0.028803687022765145
17.0,,,,,,,0.026480684314962644
17.5,,,,,,,0.024351786127041253
17.6,,,,,0.011333333333333334,,
18.0,,,,,,,0.02239995054862931
18.5,,,,,,,0.020609738263121513
19.0,,,,,,,0.01896714728319182
19.5,,,,,,,0.017459466828726566
20.0,,,,,,,0.016075147813363833
20.8,,,,0.007333333333333333,,,
21.0,,,,,,,0.013635528530569374
22.0,,,,,,0.006333333333333333,
23.0,,,0.006,,,,
