,kls=results&ty=por&q=0.4&ds=10&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=500&scale=1,kls=results&ty=trad&q=0.4&ds=10&daa=500&scale=1,kls=results&ty=trad&q=0.44&ds=10&daa=500&scale=1,kls=analytical&ty=trad&q=0.4&ds=10&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=10&daa=0&scale=1
0.1,,,,,0.8,0.88
0.2,,,,,0.7040000000000001,0.820864
0.3,,,,,0.6348800000000001,0.7771506688
0.4,,,,,0.5795840000000001,0.7412474527744
0.5,,,,,0.5331353600000002,0.7102845192739226
0.6,,,,,0.49300373504000006,0.682819158741659
0.7,,,,,0.4576879050752001,0.6580051210127768
0.8,,,,,0.4262063652208641,0.6352953136833036
0.9,,,,,0.39787297935196175,0.6143114517108704
1.0,0.3848888888888889,0.5751666666666667,0.38622222222222224,0.5794444444444444,0.3721840428308235,0.594778740370842
1.1,,,,,0.34875573272354554,0.5764898720889466
1.2,,,,,0.32728688127978534,0.5592837048093393
1.3,,,,,0.3075355379515259,0.543031906274841
1.4,,,,,0.2893035287254403,0.5276302018175318
1.5,,,,,0.27242589732757816,0.5129924219013051
1.6,,,,,0.25676345539036216,0.4990463258787199
1.7,,,,,0.24219738438875127,0.4857305933963555
1.8,,,,,0.22862523352607378,0.47299260704804946
1.9,,,,,0.21595789272090815,0.4607867854627393
2.0,0.199,0.43122222222222223,0.21533333333333332,0.44972222222222225,0.20411726257881646,0.44907330817548086
2.1,,,,,0.19303443276581878,0.43781712504151704
2.2,,,,,0.18264823796963792,0.4269871760422259
2.3,,,,,0.1729040988517665,0.4165557691661086
2.4,,,,,0.16375308124541765,0.40649807877981403
2.5,,,,,0.15515112469544978,0.39679173704434734
2.6,,,,,0.14705840397324,0.3874164980381609
2.7,,,,,0.13943879615479016,0.37835395931144233
2.8,,,,,0.13225943234362847,0.3695873292566303
2.9,,,,,0.12549031789310472,0.3611012313635722
3.0,0.11955555555555555,0.3362222222222222,0.12944444444444445,0.359,0.11910400853564496,0.35288153841954306
3.1,,,,,0.11307533250220303,0.3449152312100019
3.2,,,,,0.1073811507519069,0.3371902774111446
3.3,,,,,0.10200014899787702,0.3296955272354932
3.4,,,,,0.09691265643043057,0.3224206230649943
3.5,,,,,0.0921004869901636,0.3153559208314689
3.6,,,,,0.08754679979411673,0.3084924213175543
3.7,,,,,0.08323597591519227,0.3018217098788749
3.8,,,,,0.07915350919309738,0.29533590334969584
3.9,,,,,0.07528590914058642,0.2890276031044733
4.0,0.07744444444444444,0.25822222222222224,0.07133333333333333,0.27955555555555556,0.07162061432159139,0.28288985341767536
4.1,,,,,0.0681459148331841,0.2769161044025087
4.2,,,,,0.06485088273295792,0.27110017892229876
4.3,,,,,0.06172530942645771,0.2654362429613051
4.4,,,,,0.05875964917284815,0.25991877901865146
4.5,,,,,0.055944967986695016,0.2545425621529298
4.6,,,,,0.053272897313973666,0.24930263835832844
4.7,,,,,0.050735591944746083,0.2441943049978037
4.8,,,,,0.04832569169618617,0.23921309305639538
4.9,,,,,0.0460362864600542,0.23435475100954173
5.0,0.04622222222222222,0.211,0.043444444444444445,0.22733333333333333,0.04386088426017043,0.22961523012817686
5.1,,,,,0.04179338200940097,0.22499067106531045
5.2,,,,,0.039828038693375256,0.22047739158836455
5.3,,,,,0.03795945074060014,0.2160718753383143
5.4,,,,,0.03618252936664046,0.21177076151109553
5.5,,,,,0.034492479704296475,0.20757083536917487
5.6,,,,,0.03288478155277219,0.20346901950192942
5.7,,,,,0.031355171597179154,0.19946236576280407
5.8,,,,,0.029899626965751658,0.1955480478193229
5.9,,,,,0.028514350006186073,0.19172335425909925
6.0,0.03233333333333333,0.1731111111111111,0.028666666666666667,0.1827777777777778,0.027195754174843767,0.18798568220116796
6.1,,,,,0.0259404509434058,0.18433253136737338
6.2,,,,,0.02474523763714498,0.18076149857330504
6.3,,,,,0.023607086127441,0.17727027260245376
6.4,,,,,0.02252313230867542,0.1738566294309547
6.5,,,,,0.021490666296301142,0.17051842777354576
6.6,,,,,0.020507123288820872,0.16725360492426156
6.7,,,,,0.01957007504169428,0.16406017286794838
6.8,,,,,0.01867722190592469,0.16093621464096775
6.9,,,,,0.01782638538830894,0.15787988092148886
7.0,0.02011111111111111,0.146,0.014222222222222223,0.14366666666666666,0.01701550119412909,0.15488938683158437
7.1,,,,,0.016242612716476423,0.1519630089349674
7.2,,,,,0.015505864939469038,0.1490990824156596
7.3,,,,,0.014803498725388664,0.14629599842418428
7.4,,,,,0.014133845458265348,0.14355220157904924
7.5,,,,,0.013495322018694855,0.14086618761233927
7.6,,,,,0.012886426066720524,0.13823650114918706
7.7,,,,,0.012305731611469084,0.1356617336117497
7.8,,,,,0.011751884847915006,0.13314052123909093
7.9,,,,,0.011223600242678877,0.130671543215076
8.0,,,,,0.010719656852165027,0.12825351989701494
8.1,,,,,0.010238894857614755,0.12588521113837325
8.2,,,,,0.009780212302814228,0.12356541469938997
8.3,,,,,0.00934256202125816,0.12129296473992235
